gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto,throughput,latency
3.0,2201,42,0,1,2,2,863020.0,602112.0,0.0,863.02,0.602112
3.0,3060,18,0,1,2,1,831816.0,593920.0,0.0,831.816,0.59392
3.0,3625,122,6,0,0,1,862955.0,602112.0,0.0,862.955,0.602112
3.0,1691,39,0,1,1,2,861407.0,741376.0,0.0,861.407,0.741376
3.0,3935,124,0,1,2,2,858177.0,659456.0,0.0,858.177,0.659456
3.0,3136,18,0,1,2,2,846195.0,602112.0,0.0,846.195,0.602112
3.0,2632,82,0,1,2,1,849844.0,610304.0,0.0,849.844,0.610304
3.0,2233,95,0,1,2,2,858677.0,880640.0,0.0,858.677,0.88064
3.0,2192,42,0,1,2,2,855966.0,659456.0,0.0,855.966,0.659456
3.0,2252,88,0,1,2,2,845002.0,602112.0,0.0,845.002,0.602112
3.0,1922,30,0,0,2,2,849608.0,643072.0,0.0,849.608,0.643072
3.0,3625,127,0,0,0,1,855929.0,1056768.0,0.0,855.929,1.056768
3.0,143,32,3,1,0,2,681580.0,602112.0,0.0,681.58,0.602112
3.0,2187,89,0,1,0,2,853234.0,659456.0,0.0,853.234,0.659456
4.0,2859,46,6,2,0,1,947126.0,493568.0,1.0,947.126,0.493568
4.0,844,51,0,0,1,1,1011256.0,509952.0,1.0,1011.256,0.509952
4.0,1691,39,0,2,0,1,1058465.0,514048.0,1.0,1058.465,0.514048
4.0,3890,26,0,1,2,1,866839.0,468992.0,1.0,866.839,0.468992
4.0,2024,78,0,2,0,1,865044.0,460800.0,1.0,865.044,0.4608
4.0,842,51,0,0,1,1,986947.0,561152.0,0.0,986.947,0.561152
4.0,1691,39,0,1,0,1,864965.0,481280.0,0.0,864.965,0.48128
4.0,3902,88,0,1,2,2,855685.0,477184.0,0.0,855.685,0.477184
4.0,1251,78,0,0,0,1,850781.0,460800.0,0.0,850.781,0.4608
4.0,2569,78,0,2,0,1,968262.0,569344.0,0.0,968.262,0.569344
4.0,311,29,0,0,0,1,837033.0,561152.0,0.0,837.033,0.561152
4.0,2541,35,0,0,0,0,833903.0,464896.0,0.0,833.903,0.464896
4.0,2883,46,2,2,0,1,905764.0,577536.0,0.0,905.764,0.577536
4.0,1226,37,4,0,1,0,915599.0,585728.0,0.0,915.599,0.585728
4.0,844,51,1,2,2,1,942355.0,593920.0,0.0,942.355,0.59392
4.0,2026,51,5,1,0,1,822155.0,569344.0,0.0,822.155,0.569344
4.0,3256,24,0,0,2,1,821390.0,468992.0,0.0,821.39,0.468992
4.0,3824,108,3,0,0,1,932474.0,593920.0,0.0,932.474,0.59392
4.0,2569,78,0,0,0,1,810687.0,468992.0,0.0,810.687,0.468992
4.0,3119,83,0,1,0,0,814999.0,481280.0,0.0,814.999,0.48128
4.0,1922,30,4,0,2,1,931878.0,602112.0,0.0,931.878,0.602112
4.0,2916,20,2,1,0,1,925831.0,593920.0,0.0,925.831,0.59392
4.0,1922,54,4,1,2,2,777768.0,477184.0,0.0,777.768,0.477184
4.0,1572,53,0,1,0,1,804070.0,536576.0,0.0,804.07,0.536576
4.0,125,32,3,1,0,2,778393.0,522240.0,0.0,778.393,0.52224
4.0,1982,21,4,0,2,1,910447.0,937984.0,0.0,910.447,0.937984
4.0,1252,37,4,0,1,1,898056.0,593920.0,0.0,898.056,0.59392
4.0,1691,40,6,1,0,1,760630.0,481280.0,0.0,760.63,0.48128
4.0,812,52,0,1,1,1,874218.0,593920.0,0.0,874.218,0.59392
4.0,3884,93,0,2,2,1,876662.0,700416.0,0.0,876.662,0.700416
4.0,3936,48,4,2,2,0,748225.0,536576.0,0.0,748.225,0.536576
4.0,919,9,2,2,2,1,710440.0,501760.0,0.0,710.44,0.50176
4.0,3884,123,0,1,2,1,860159.0,593920.0,0.0,860.159,0.59392
4.0,1721,39,0,1,1,1,872861.0,602112.0,0.0,872.861,0.602112
4.0,241,42,6,1,2,2,716042.0,536576.0,0.0,716.042,0.536576
4.0,2550,37,3,0,1,1,706771.0,518144.0,0.0,706.771,0.518144
4.0,4,18,0,0,0,0,857576.0,593920.0,0.0,857.576,0.59392
4.0,2569,34,0,0,0,1,871664.0,962560.0,0.0,871.664,0.96256
4.0,206,19,0,0,0,0,868562.0,602112.0,0.0,868.562,0.602112
4.0,1250,2,6,2,0,0,645206.0,544768.0,0.0,645.206,0.544768
4.0,3625,122,0,0,0,1,856016.0,593920.0,0.0,856.016,0.59392
4.0,311,53,0,1,0,2,864916.0,602112.0,0.0,864.916,0.602112
4.0,4,1,0,0,0,0,855720.0,593920.0,0.0,855.72,0.59392
4.0,2201,42,0,1,0,2,864555.0,1019904.0,0.0,864.555,1.019904
4.0,3579,35,0,0,0,0,863374.0,602112.0,0.0,863.374,0.602112
4.0,206,19,0,0,0,0,850365.0,593920.0,0.0,850.365,0.59392
4.0,3884,95,0,1,2,2,863241.0,2072576.0,0.0,863.241,2.072576
4.0,2201,42,0,1,2,2,863020.0,602112.0,0.0,863.02,0.602112
4.0,3060,18,0,1,2,1,831816.0,593920.0,0.0,831.816,0.59392
4.0,3625,122,6,0,0,1,862955.0,602112.0,0.0,862.955,0.602112
5.0,2859,46,6,2,0,1,947126.0,493568.0,1.0,947.126,0.493568
5.0,844,51,0,0,1,1,1011256.0,509952.0,1.0,1011.256,0.509952
5.0,1691,39,0,2,0,1,1058465.0,514048.0,1.0,1058.465,0.514048
5.0,3890,26,0,1,2,1,866839.0,468992.0,1.0,866.839,0.468992
5.0,2024,78,0,2,0,1,865044.0,460800.0,1.0,865.044,0.4608
5.0,842,51,0,0,1,1,986947.0,561152.0,0.0,986.947,0.561152
5.0,3884,79,0,2,2,1,1037957.0,692224.0,0.0,1037.957,0.692224
5.0,844,78,1,2,0,1,892898.0,544768.0,0.0,892.898,0.544768
5.0,3119,83,0,1,0,1,992713.0,577536.0,0.0,992.713,0.577536
5.0,1691,39,0,1,0,1,864965.0,481280.0,0.0,864.965,0.48128
5.0,3902,88,0,1,2,2,855685.0,477184.0,0.0,855.685,0.477184
5.0,1251,78,0,0,0,1,850781.0,460800.0,0.0,850.781,0.4608
5.0,2569,78,0,2,0,1,968262.0,569344.0,0.0,968.262,0.569344
5.0,311,29,0,0,0,1,837033.0,561152.0,0.0,837.033,0.561152
5.0,2541,35,0,0,0,0,833903.0,464896.0,0.0,833.903,0.464896
5.0,2883,46,2,2,0,1,905764.0,577536.0,0.0,905.764,0.577536
5.0,1226,37,4,0,1,0,915599.0,585728.0,0.0,915.599,0.585728
5.0,844,51,1,2,2,1,942355.0,593920.0,0.0,942.355,0.59392
5.0,2026,51,5,1,0,1,822155.0,569344.0,0.0,822.155,0.569344
5.0,3256,24,0,0,2,1,821390.0,468992.0,0.0,821.39,0.468992
5.0,965,48,2,2,2,1,906767.0,585728.0,0.0,906.767,0.585728
5.0,3824,108,3,0,0,1,932474.0,593920.0,0.0,932.474,0.59392
5.0,2569,78,0,0,0,1,810687.0,468992.0,0.0,810.687,0.468992
5.0,3119,83,0,1,0,0,814999.0,481280.0,0.0,814.999,0.48128
5.0,1922,30,4,0,2,1,931878.0,602112.0,0.0,931.878,0.602112
5.0,2916,20,2,1,0,1,925831.0,593920.0,0.0,925.831,0.59392
5.0,1922,54,4,1,2,2,777768.0,477184.0,0.0,777.768,0.477184
5.0,1572,53,0,1,0,1,804070.0,536576.0,0.0,804.07,0.536576
5.0,1925,35,4,0,0,2,780430.0,485376.0,0.0,780.43,0.485376
